iter	Passed	Remaining
146	772	4483
147	775	4466
148	779	4453
149	783	4441
150	786	4423
151	790	4407
152	793	4395
153	803	4411
154	807	4401
155	811	4389
156	816	4386
157	820	4374
158	826	4371
159	831	4363
160	839	4376
161	847	4381
162	850	4368
163	856	4367
164	860	4356
165	864	4342
166	867	4326
167	870	4313
168	876	4307
169	878	4290
170	881	4273
171	884	4257
172	889	4253
173	893	4239
174	896	4227
175	899	4212
176	903	4201
177	906	4184
178	908	4168
179	912	4156
180	915	4141
181	920	4135
182	923	4121
183	926	4109
184	929	4093
185	932	4079
186	936	4072
187	939	4058
188	942	4045
189	945	4030
190	949	4022
191	953	4010
192	956	3998
193	959	3985
194	962	3973
195	968	3971
196	971	3959
197	974	3946
198	977	3934
199	982	3928
200	984	3915
201	987	3901
202	990	3889
203	996	3887
204	998	3872
205	1000	3856
206	1003	3843
207	1006	3831
208	1010	3824
209	1013	3813
210	1016	3802
211	1020	3792
212	1024	3784
213	1027	3774
214	1030	3761
215	1032	3748
216	1035	3737
217	1040	3731
218	1042	3719
219	1045	3706
220	1048	3694
221	1050	3681
222	1057	3683
223	1059	3671
224	1062	3658
225	1064	3645
226	1072	3651
227	1075	3640
228	1078	3630
229	1081	3621
230	1085	3613
231	1088	3602
232	1090	3591
233	1093	3580
234	1097	3572
235	1103	3573
236	1106	3561
237	1108	3548
238	1112	3541
239	1116	3534
240	1119	3526
241	1122	3517
242	1125	3507
243	1133	3513
244	1137	3504
245	1144	3509
246	1151	3509
247	1154	3501
248	1157	3490
249	1159	3479
250	1162	3469
251	1165	3459
252	1168	3451
253	1172	3442
254	1174	3432
255	1179	3428
256	1182	3418
257	1185	3408
258	1187	3397
259	1190	3388
260	1194	3382
261	1198	3376
262	1202	3368
263	1205	3360
264	1211	3359
265	1213	3349
266	1216	3339
267	1218	3327
268	1221	3318
269	1224	3309
270	1227	3301
271	1230	3292
272	1232	3282
273	1235	3272
274	1238	3264
275	1240	3254
276	1242	3244
277	1245	3235
278	1248	3226
279	1250	3216
280	1257	3216
281	1259	3207
282	1262	3198
283	1263	3186
284	1264	3173
285	1267	3164
286	1269	3154
287	1271	3144
288	1273	3133
289	1277	3127
290	1279	3116
291	1284	3115
292	1290	3113
293	1292	3104
294	1299	3105
295	1303	3099
296	1306	3093
297	1316	3100
298	1319	3093
299	1322	3086
300	1326	3080
301	1329	3073
302	1332	3065
303	1335	3058
304	1342	3058
305	1349	3060
306	1357	3063
307	1360	3057
308	1364	3051
309	1372	3055
310	1375	3048
311	1378	3040
312	1381	3031
313	1392	3042
314	1396	3037
315	1407	3047
316	1410	3039
317	1413	3030
318	1416	3022
319	1419	3016
320	1422	3008
321	1425	3001
322	1428	2993
323	1441	3008
324	1449	3010
325	1454	3007
326	1458	3000
327	1463	2999
328	1467	2992
329	1469	2983
330	1472	2975
331	1475	2968
332	1481	2966
333	1485	2962
334	1488	2955
335	1497	2958
336	1499	2950
337	1502	2942
338	1505	2935
339	1515	2941
340	1518	2934
341	1527	2939
342	1532	2934
343	1536	2929
344	1540	2925
345	1544	2920
346	1547	2912
347	1550	2905
348	1559	2909
349	1563	2903
350	1566	2895
351	1571	2892
352	1575	2887
353	1580	2883
354	1590	2890
355	1597	2889
356	1605	2891
357	1612	2891
358	1619	2891
359	1622	2883
360	1625	2877
361	1630	2873
362	1636	2871
363	1640	2866
364	1644	2860
365	1650	2859
366	1654	2853
367	1659	2849
368	1662	2842
369	1666	2837
370	1669	2830
371	1675	2829
372	1681	2826
373	1684	2819
374	1690	2817
375	1694	2811
376	1697	2804
377	1700	2797
378	1703	2791
379	1710	2791
380	1714	2785
381	1719	2781
382	1729	2785
383	1732	2779
384	1737	2775
385	1741	2769
386	1744	2763
387	1748	2757
388	1756	2758
389	1760	2754
390	1765	2749
391	1771	2747
392	1775	2741
393	1777	2734
394	1780	2726
395	1785	2723
396	1788	2716
397	1791	2709
398	1794	2702
399	1800	2701
400	1804	2695
401	1807	2689
402	1810	2682
403	1814	2676
404	1817	2670
405	1821	2664
406	1823	2656
407	1825	2649
408	1830	2645
409	1833	2638
410	1836	2632
411	1839	2625
412	1842	2619
413	1845	2612
414	1848	2605
415	1850	2597
416	1852	2590
417	1855	2583
418	1858	2576
419	1861	2570
420	1864	2563
421	1866	2556
422	1869	2550
423	1872	2543
